id,name,vp,discount,evolution_cost,pokeball_cost,greatball_cost,ultraball_cost,healball_cost,quickball_cost,masterball_cost,source_file
greatball_stage1_2_1,小拳石,0,greatball=1,healball=3,1,0,1,1,1,0,httpssteamusercontentaakamaihdnetugc23796578400037400910ED7143F841A291D20D582A59F708A03EC6297AC.png
greatball_stage1_2_2,小拳石,0,greatball=1,healball=3,2,1,0,0,1,0,httpssteamusercontentaakamaihdnetugc2379657840003742089002DF3641FFB27A92EA6A3E277F552CE82FF24D9.png
greatball_stage1_3_1,小火龙,1,greatball=1,quickball=3,0,4,0,0,0,0,httpssteamusercontentaakamaihdnetugc232336221074815177351F1CB599FA90736ACE72FD2560A0C05ED221EB0.png
greatball_stage1_3_2,小火龙,1,greatball=1,quickball=3,0,0,3,2,0,0,httpssteamusercontentaakamaihdnetugc232336221074814881231B8EF13D86BD0E0DEE54326234A44488074A0FC.png
greatball_stage2_1_1,比比鸟,1,greatball=1,pokeball=4,0,3,2,2,0,0,httpssteamusercontentaakamaihdnetugc23233622107483862199F407EDB1ED904EFBF307F441F81212AD8415071.png
greatball_stage2_1_2,比比鸟,1,greatball=1,pokeball=4,3,0,0,2,2,0,httpssteamusercontentaakamaihdnetugc232336221074838372290143DFD90DC6597CCE86B3D97CC88B8284558F1.png
greatball_stage2_2_1,隆隆石,2,greatball=1,ultraball=3,0,0,1,4,2,0,httpssteamusercontentaakamaihdnetugc23796578400037506586A78E818716705B99A857E05CFBE9FC30621AE27.png
greatball_stage2_2_2,隆隆石,2,greatball=1,ultraball=3,2,5,0,0,0,0,httpssteamusercontentaakamaihdnetugc2379657840003752786BBC9E0E7A2E19B5356EBD97D6282225D28C61752.png
greatball_stage2_3_1,火恐龙,3,greatball=1,pokeball=4,0,6,0,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748377091C8BA67FE460B3AEF762C61BA7F8B11582A0BF9E3.png
greatball_stage2_3_2,火恐龙,3,greatball=1,pokeball=4,1,0,4,0,4,0,httpssteamusercontentaakamaihdnetugc23233622107483748532C6FCE3CDF66B049714260C4D073451D38FBB673.png
greatball_stage3_1,大比鸟,3,greatball=1,,0,5,2,0,2,0,httpssteamusercontentaakamaihdnetugc2323362210748457621E51B2B355ABD1C926A93F526A3AF4C42F7953F7C.png
greatball_stage3_2,隆隆岩,4,greatball=1,,4,0,0,6,0,0,httpssteamusercontentaakamaihdnetugc2323362210748455691210D071BAA7B22BC28A4BB30894070D7AE63EE2E.png
greatball_stage3_3,喷火龙,5,greatball=1,,0,0,7,0,3,0,httpssteamusercontentaakamaihdnetugc2323362210748452945360DE87BE59B10C0849C6A511E4CBF599199EEAE.png
greatball_rare_1,百变怪,0,greatball=2,,0,0,0,3,2,1,httpssteamusercontentaakamaihdnetugc23233622107484947513B6FC22814F62AE0C486414078186D22AF454DDF.png
greatball_rare_2,火箭队的果然翁,0,greatball=2,,0,0,0,3,2,1,httpssteamusercontentaakamaihdnetugc2323362210748511107AE1C69AE177682FC664FB1981E229A84BCC2227E.png
greatball_legendary_1,梦幻,2,greatball=2,,3,0,3,0,3,1,httpssteamusercontentaakamaihdnetugc2323362210748528753A6AA520E31A3CF965B6B6CFF17EF5322EC83229D.png
greatball_legendary_2,凯路迪欧,2,greatball=2,,3,0,3,0,3,1,httpssteamusercontentaakamaihdnetugc2323362210748539415A8AC1F555BB35B6E7BDBF861C437C19A736AD2C0.png
ultraball_stage1_1_1,走路草,0,ultraball=1,quickball=2,1,0,0,2,0,0,httpssteamusercontentaakamaihdnetugc2323362210748126022CD54DDB2D6BCFED2D70098E1C701171622E41085.png
ultraball_stage1_1_2,走路草,0,ultraball=1,quickball=2,0,3,0,0,0,0,httpssteamusercontentaakamaihdnetugc23233622107481352366548356B0637ADC9568D7DDD7E67DE1AC1CB8BB2.png
ultraball_stage1_1_3,走路草,0,ultraball=1,quickball=2,0,0,2,0,2,0,httpssteamusercontentaakamaihdnetugc23233622107481300789DC0CD51DEE90E1B6A68D321411376DFE732FBE6.png
ultraball_stage1_2_1,独角虫,0,ultraball=1,pokeball=3,1,1,0,1,1,0,httpssteamusercontentaakamaihdnetugc2323362210748139856B843F3BD84FB1032BE0C621313040F2BAA958326.png
ultraball_stage1_2_2,独角虫,0,ultraball=1,pokeball=3,1,2,0,1,0,0,httpssteamusercontentaakamaihdnetugc2323362210748143539D1832BA7F6EC3A1377B82EE47AC8BF514F56BDBF.png
ultraball_stage1_3_1,迷你龙,1,ultraball=1,greatball=3,0,0,4,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748120481F0845F7B390227FB4D7D7BA23BA2C64AB042D753.png
ultraball_stage1_3_2,迷你龙,1,ultraball=1,greatball=3,2,0,0,0,3,0,httpssteamusercontentaakamaihdnetugc232336221074725341419895E61A90B994612698B7C5EDA62E62B708D00.png
ultraball_stage2_1_1,臭臭花,1,ultraball=1,quickball=4,2,2,3,0,0,0,httpssteamusercontentaakamaihdnetugc23233622107483659950A04707D0A6DEBD42871C4BA07BB7A3A5D18AC57.png
ultraball_stage2_1_2,臭臭花,1,ultraball=1,quickball=4,2,2,0,0,3,0,httpssteamusercontentaakamaihdnetugc232336221074836243765C0D527A0007A18EC5798B1688B41FBB27B2404.png
ultraball_stage2_2_1,铁壳蛹,2,ultraball=1,healball=3,4,2,0,1,0,0,httpssteamusercontentaakamaihdnetugc2323362210748368709AD5D1A8E1C8F4C35656CF006E0662EC2CBA74A4E.png
ultraball_stage2_2_2,铁壳蛹,2,ultraball=1,healball=3,0,0,5,0,2,0,httpssteamusercontentaakamaihdnetugc2323362210748370488F4A4CFD4A12DA5F8168A8B58BA8E97628041F34F.png
ultraball_stage2_3_1,哈克龙,3,ultraball=1,quickball=4,0,0,6,0,0,0,httpssteamusercontentaakamaihdnetugc232336221074835963227BA3CBF06B1D74F13229A2A67011FE2F6959C1E.png
ultraball_stage2_3_2,哈克龙,3,ultraball=1,quickball=4,0,4,0,4,1,0,httpssteamusercontentaakamaihdnetugc23233622107479623697EDC5908725AE14E162C7BB15B98CA46A8A8600B.png
ultraball_stage3_1,霸王花,3,ultraball=1,,0,2,5,2,0,0,httpssteamusercontentaakamaihdnetugc23233622107484488145E39B65EE67B9C3C3DC7C590AB5FA73B3474850C.png
ultraball_stage3_2,大针蜂,4,ultraball=1,,6,0,0,0,4,0,httpssteamusercontentaakamaihdnetugc2323362210748446705991B994BE4733B737185E32E0489CFE418A6EBEE.png
ultraball_stage3_3,快龙,5,ultraball=1,,0,3,0,7,0,0,httpssteamusercontentaakamaihdnetugc2323362210748042944ED0E79C8344FC632B4C7414C5C1BA9FADA3876C4.png
ultraball_rare_1,伊布,0,ultraball=2,,2,0,0,0,3,1,httpssteamusercontentaakamaihdnetugc23233622107480870597C55F613523DD54BF794A38C5C4D34FF754062F5.png
ultraball_rare_2,小刚的大岩蛇,0,ultraball=2,,2,0,0,0,3,1,httpssteamusercontentaakamaihdnetugc23233622107485088111D55A336B5171AC1BF1EB89620C221331C134404.png
ultraball_legendary_1,超梦,2,ultraball=2,,3,3,0,3,0,1,httpssteamusercontentaakamaihdnetugc232336221074810695083E1900B65C716A7D8C69A25433B03233934239A.png
ultraball_legendary_2,美洛耶塔,2,ultraball=2,,3,3,0,3,0,1,httpssteamusercontentaakamaihdnetugc23233622107485374173E89880CCC204F0B3ECF0D0619FC10574C8324E1.png
healball_stage1_1_1,蚊香蝌蚪,0,healball=1,ultraball=2,0,2,0,0,1,0,httpssteamusercontentaakamaihdnetugc2323362210748185329335BB52129FFE64C165A61FC903DF89D5E936B65.png
healball_stage1_1_2,蚊香蝌蚪,0,healball=1,ultraball=2,3,0,0,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748188778F07BD7B1BB1023DE03AB5BAA8886BCDE3812A960.png
healball_stage1_1_3,蚊香蝌蚪,0,healball=1,ultraball=2,0,0,2,2,0,0,httpssteamusercontentaakamaihdnetugc2323362210748187013E71C844BDF53791AFD030047657DE9FB0100B3B2.png
healball_stage1_2_1,绿毛虫,0,healball=1,greatball=3,1,1,1,0,1,0,httpssteamusercontentaakamaihdnetugc2323362210748179432833A8BF289B35E8D83C423D3F4EF07D41C2C8CEF.png
healball_stage1_2_2,绿毛虫,0,healball=1,greatball=3,0,1,2,0,1,0,httpssteamusercontentaakamaihdnetugc23233622107481824175F1B26F26226C53FC79F9F42C8138E2589A92650.png
healball_stage1_3_1,凯西,1,healball=1,pokeball=3,0,0,0,4,0,0,httpssteamusercontentaakamaihdnetugc2323362210748175930D5BF8016687E459D7C4457E3DD2DE3B12E895F1E.png
healball_stage1_3_2,凯西,1,healball=1,pokeball=3,0,3,0,0,2,0,httpssteamusercontentaakamaihdnetugc23233622107481736274EB239A82EA8EDA743D3AD87D052C91B640EAF4C.png
healball_stage2_1_1,蚊香君,1,healball=1,ultraball=4,0,2,0,3,2,0,httpssteamusercontentaakamaihdnetugc23233622107484033776E09E667914A2EF8E0025F0383FD6BDE5A298002.png
healball_stage2_1_2,蚊香君,1,healball=1,ultraball=4,2,2,3,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748401712D4844D9F17805308B81CE3966213D5F5A2C73960.png
healball_stage2_2_1,铁甲蛹,2,healball=1,quickball=3,2,4,0,0,1,0,httpssteamusercontentaakamaihdnetugc232336221074839862136DCC04278D2B74BA8D53E1BE2A787F3FCD976CE.png
healball_stage2_2_2,铁甲蛹,2,healball=1,quickball=3,0,0,2,5,0,0,httpssteamusercontentaakamaihdnetugc2323362210748400420009DA11FFD160FBBE1FD938E5B129C2E3D0E7F2B.png
healball_stage2_3_1,勇基拉,3,healball=1,ultraball=4,0,0,0,6,0,0,httpssteamusercontentaakamaihdnetugc2323362210748397302C9AC6C3793A6EA85EF160B746B7807D29E3F8C90.png
healball_stage2_3_2,勇基拉,3,healball=1,ultraball=4,4,0,1,0,4,0,httpssteamusercontentaakamaihdnetugc23233622107483911776E46B1C458B1B19C3A99627CFAFA9290ED12CDC6.png
healball_stage3_1,蚊香泳士,3,healball=1,,2,0,0,5,2,0,httpssteamusercontentaakamaihdnetugc2323362210748465545247D012655582A6D87364208BCE99DCD5CBB5277.png
healball_stage3_2,巴大蝶,4,healball=1,,0,6,4,0,0,0,httpssteamusercontentaakamaihdnetugc232336221074846403605915E6D74BCB34A73BAFFE94D122339670A23EC.png
healball_stage3_3,胡地,5,healball=1,,3,0,0,0,7,0,httpssteamusercontentaakamaihdnetugc23233622107484618833C988CDA65C51190771FC7D052284F0415C61CC9.png
healball_rare_1,卡比兽,0,healball=2,,3,0,2,0,0,1,httpssteamusercontentaakamaihdnetugc2323362210748497849EA0EF7EAEEC1CEE5CF5FCE60ED82F9A225E3240F.png
healball_rare_2,小霞的可达鸭,0,healball=2,,3,0,2,0,0,1,httpssteamusercontentaakamaihdnetugc2323362210748513265995E54A3F7425394E598033A88FEA0866BED72C4.png
healball_legendary_1,火焰鸟,2,healball=2,,0,3,3,0,3,1,httpssteamusercontentaakamaihdnetugc232336221074853092447CF5D6A10178794FF391D766A274F33159C5711.png
healball_legendary_2,蒂安希,2,healball=2,,0,3,3,0,3,1,httpssteamusercontentaakamaihdnetugc23233622107485408892820C2BAC2EC6008159EFE48A2A9EC23DA9E2171.png
quickball_stage1_1_1,尼多兰,0,quickball=1,greatball=2,2,0,0,1,0,0,httpssteamusercontentaakamaihdnetugc2323362210748322702F9BC6551386A5FE8DD1E91E1C76D3A2DA7076929.png
quickball_stage1_1_2,尼多兰,0,quickball=1,greatball=2,0,0,3,0,0,0,httpssteamusercontentaakamaihdnetugc232336221074832636338E426ADA5DB594A7E3A723D3335342814C876AD.png
quickball_stage1_1_3,尼多兰,0,quickball=1,greatball=2,0,2,0,0,2,0,httpssteamusercontentaakamaihdnetugc2323362210748324471375CF6723B6B888052D894207A8F249C676D5235.png
quickball_stage1_2_1,鬼斯,0,quickball=1,ultraball=3,1,1,1,1,0,0,httpssteamusercontentaakamaihdnetugc23233622107483170299CE45FBD7CDC7E17DA85E8D14529F30AC8610058.png
quickball_stage1_2_2,鬼斯,0,quickball=1,ultraball=3,1,0,1,2,0,0,httpssteamusercontentaakamaihdnetugc2323362210748318916EF34E29B9830BBA3BF9220D910748156FA88253A.png
quickball_stage1_3_1,妙蛙种子,1,quickball=1,healball=3,0,0,0,0,4,0,httpssteamusercontentaakamaihdnetugc23233622107483145793F7991A1CFC8A5E588A8D64E47C731CD5B200FD9.png
quickball_stage1_3_2,妙蛙种子,1,quickball=1,healball=3,3,0,2,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748310771D00B1EE69EC2241DDD35201BE4F20CC9C96D3CF8.png
quickball_stage2_1_1,尼多娜,1,quickball=1,greatball=4,2,0,0,2,3,0,httpssteamusercontentaakamaihdnetugc2323362210748433542E1C3376E77ACB806067FCE62B9ACCDF554E2E16C.png
quickball_stage2_1_2,尼多娜,1,quickball=1,greatball=4,0,3,2,2,0,0,httpssteamusercontentaakamaihdnetugc2323362210748431891787AF41F95F667C84FDB18F44DFBE85014E5C132.png
quickball_stage2_2_1,鬼斯通,2,quickball=1,pokeball=3,1,0,4,2,0,0,httpssteamusercontentaakamaihdnetugc232336221074842250484CF2147490C1D73426DE0311A930CBBC7802AE1.png
quickball_stage2_2_2,鬼斯通,2,quickball=1,pokeball=3,0,2,0,0,5,0,httpssteamusercontentaakamaihdnetugc23233622107484252358DAA5295A19764473F0571C9A991C2AE13D03BBE.png
quickball_stage2_3_1,妙蛙草,3,quickball=1,greatball=4,0,0,0,0,6,0,httpssteamusercontentaakamaihdnetugc232336221074842909982367A8D3D3BD7E7E2F02DF36103072315770496.png
quickball_stage2_3_2,妙蛙草,3,quickball=1,greatball=4,4,1,0,4,0,0,httpssteamusercontentaakamaihdnetugc232336221074842672271478A450D20C7AC5EA980F6FE785184764DDA54.png
quickball_stage3_1,尼多后,3,quickball=1,,2,0,0,2,5,0,httpssteamusercontentaakamaihdnetugc232336221074848169375457F6DBBDC235F80887C3F1511FF99CEF76DAC.png
quickball_stage3_2,耿鬼,4,quickball=1,,0,4,6,0,0,0,httpssteamusercontentaakamaihdnetugc2323362210748477151490360923BD0892DC3819F3F617C42BE08ACF072.png
quickball_stage3_3,妙蛙花,5,quickball=1,,7,0,0,3,0,0,httpssteamusercontentaakamaihdnetugc232336221074848440759BD25784688A0A5FBFC9AB43C95EE55CC528804.png
quickball_rare_1,化石翼龙,0,quickball=2,,0,3,0,2,0,1,httpssteamusercontentaakamaihdnetugc23233622107485035697FC4B24F1FA2EB2C8D0EBFAE0977DE03E7097870.png
quickball_rare_2,小智的皮卡丘,0,quickball=2,,0,3,0,2,0,1,httpssteamusercontentaakamaihdnetugc2379657840003727974956BCAAAEF253CB5206AFD3B5848B09DE0DFE36F.png
quickball_legendary_1,急冻鸟,2,quickball=2,,3,0,3,3,0,1,httpssteamusercontentaakamaihdnetugc23233622107485346900821D48F2D36B8DF2BFD591C2AA3660340B09AA5.png
quickball_legendary_2,捷拉奥拉,2,quickball=2,,3,0,3,3,0,1,httpssteamusercontentaakamaihdnetugc2323362210748546316C748B460ED2946B4EF418A25F2CCCC965F6D1D97.png
